Date,RJPP
1/1/2021,357
2/1/2021,359.5833333
3/1/2021,362.1666667
4/1/2021,364.75
5/1/2021,367.3333333
6/1/2021,369.9166667
7/1/2021,372.5
8/1/2021,375.0833333
9/1/2021,377.6666667
10/1/2021,380.25
11/1/2021,382.8333333
12/1/2021,385.4166667
1/1/2022,388
2/1/2022,389.4166667
3/1/2022,390.8333333
4/1/2022,392.25
5/1/2022,393.6666667
6/1/2022,395.0833333
7/1/2022,396.5
8/1/2022,397.9166667
9/1/2022,399.3333333
10/1/2022,400.75
11/1/2022,402.1666667
12/1/2022,403.5833333
1/1/2023,405
2/1/2023,406.25
3/1/2023,407.5
4/1/2023,408.75
5/1/2023,410
6/1/2023,411.25
7/1/2023,412.5
8/1/2023,413.75
9/1/2023,415
10/1/2023,416.25
11/1/2023,417.5
12/1/2023,418.75
1/1/2024,420
2/1/2024,422.6666667
3/1/2024,425.3333333
4/1/2024,428
5/1/2024,430.6666667
6/1/2024,433.3333333
7/1/2024,436
8/1/2024,438.6666667
9/1/2024,441.3333333
10/1/2024,444
11/1/2024,446.6666667
12/1/2024,449.3333333
1/1/2025,452
2/1/2025,451.9166667
3/1/2025,451.8333333
4/1/2025,451.75
5/1/2025,451.6666667
6/1/2025,451.5833333
7/1/2025,451.5
8/1/2025,451.4166667
9/1/2025,451.3333333
10/1/2025,451.25
11/1/2025,451.1666667
12/1/2025,451.0833333
1/1/2026,451
2/1/2026,452
3/1/2026,453
4/1/2026,454
5/1/2026,455
6/1/2026,456
7/1/2026,457
8/1/2026,458
9/1/2026,459
10/1/2026,460
11/1/2026,461
12/1/2026,462
1/1/2027,463
2/1/2027,462.4166667
3/1/2027,461.8333333
4/1/2027,461.25
5/1/2027,460.6666667
6/1/2027,460.0833333
7/1/2027,459.5
8/1/2027,458.9166667
9/1/2027,458.3333333
10/1/2027,457.75
11/1/2027,457.1666667
12/1/2027,456.5833333
1/1/2028,456
2/1/2028,455.8333333
3/1/2028,455.6666667
4/1/2028,455.5
5/1/2028,455.3333333
6/1/2028,455.1666667
7/1/2028,455
8/1/2028,454.8333333
9/1/2028,454.6666667
10/1/2028,454.5
11/1/2028,454.3333333
12/1/2028,454.1666667
1/1/2029,454
2/1/2029,453.6666667
3/1/2029,453.3333333
4/1/2029,453
5/1/2029,452.6666667
6/1/2029,452.3333333
7/1/2029,452
8/1/2029,451.6666667
9/1/2029,451.3333333
10/1/2029,451
11/1/2029,450.6666667
12/1/2029,450.3333333
1/1/2030,450
2/1/2030,449.3333333
3/1/2030,448.6666667
4/1/2030,448
5/1/2030,447.3333333
6/1/2030,446.6666667
7/1/2030,446
8/1/2030,445.3333333
9/1/2030,444.6666667
10/1/2030,444
11/1/2030,443.3333333
12/1/2030,442.6666667
1/1/2031,442
2/1/2031,440.9166667
3/1/2031,439.8333333
4/1/2031,438.75
5/1/2031,437.6666667
6/1/2031,436.5833333
7/1/2031,435.5
8/1/2031,434.4166667
9/1/2031,433.3333333
10/1/2031,432.25
11/1/2031,431.1666667
12/1/2031,430.0833333
1/1/2032,429
2/1/2032,427.5
3/1/2032,426
4/1/2032,424.5
5/1/2032,423
6/1/2032,421.5
7/1/2032,420
8/1/2032,418.5
9/1/2032,417
10/1/2032,415.5
11/1/2032,414
12/1/2032,412.5
1/1/2033,411
2/1/2033,410.25
3/1/2033,409.5
4/1/2033,408.75
5/1/2033,408
6/1/2033,407.25
7/1/2033,406.5
8/1/2033,405.75
9/1/2033,405
10/1/2033,404.25
11/1/2033,403.5
12/1/2033,402.75
1/1/2034,402
2/1/2034,400.9166667
3/1/2034,399.8333333
4/1/2034,398.75
5/1/2034,397.6666667
6/1/2034,396.5833333
7/1/2034,395.5
8/1/2034,394.4166667
9/1/2034,393.3333333
10/1/2034,392.25
11/1/2034,391.1666667
12/1/2034,390.0833333
1/1/2035,389
2/1/2035,387.8333333
3/1/2035,386.6666667
4/1/2035,385.5
5/1/2035,384.3333333
6/1/2035,383.1666667
7/1/2035,382
8/1/2035,380.8333333
9/1/2035,379.6666667
10/1/2035,378.5
11/1/2035,377.3333333
12/1/2035,376.1666667
1/1/2036,375
2/1/2036,373.75
3/1/2036,372.5
4/1/2036,371.25
5/1/2036,370
6/1/2036,368.75
7/1/2036,367.5
8/1/2036,366.25
9/1/2036,365
10/1/2036,363.75
11/1/2036,362.5
12/1/2036,361.25
1/1/2037,360
2/1/2037,359
3/1/2037,358
4/1/2037,357
5/1/2037,356
6/1/2037,355
7/1/2037,354
8/1/2037,353
9/1/2037,352
10/1/2037,351
11/1/2037,350
12/1/2037,349
1/1/2038,348
2/1/2038,347.0833333
3/1/2038,346.1666667
4/1/2038,345.25
5/1/2038,344.3333333
6/1/2038,343.4166667
7/1/2038,342.5
8/1/2038,341.5833333
9/1/2038,340.6666667
10/1/2038,339.75
11/1/2038,338.8333333
12/1/2038,337.9166667
1/1/2039,337
2/1/2039,336.1666667
3/1/2039,335.3333333
4/1/2039,334.5
5/1/2039,333.6666667
6/1/2039,332.8333333
7/1/2039,332
8/1/2039,331.1666667
9/1/2039,330.3333333
10/1/2039,329.5
11/1/2039,328.6666667
12/1/2039,327.8333333
1/1/2040,327
2/1/2040,326.4166667
3/1/2040,325.8333333
4/1/2040,325.25
5/1/2040,324.6666667
6/1/2040,324.0833333
7/1/2040,323.5
8/1/2040,322.9166667
9/1/2040,322.3333333
10/1/2040,321.75
11/1/2040,321.1666667
12/1/2040,320.5833333
1/1/2041,320
